Student_ID,GPA
1523,3.0
1611,3.0
569,3.0
1802,3.0
91,3.0
1775,3.0
334,3.0
220,3.0
1848,3.0
1633,3.0
1245,3.0
876,3.0
43,3.0
963,3.0
1593,3.0
1963,3.0
156,3.0
1194,3.0
1444,3.0
1514,3.0
452,3.0
1328,3.0
1688,3.0
48,3.0
1971,3.0
1932,3.0
1102,3.0
1367,3.0
923,3.0
30,3.0
494,3.0
1006,3.0
1335,3.0
132,3.0
804,3.0
142,3.0
230,3.0
1937,3.0
625,3.0
1424,3.0
394,3.0
565,3.0
306,3.0
406,3.0
1140,3.0
860,3.0
183,3.0
143,3.0
1454,3.0
1389,3.0
36,3.0
1938,3.0
1828,3.0
290,3.0
1158,3.0
1411,3.0
968,3.0
464,3.0
83,3.0
332,3.0
1151,3.0
949,3.0
1219,3.0
214,3.0
331,3.0
135,3.0
1718,3.0
314,3.0
1420,3.0
936,3.0
1100,3.0
1675,3.0
1918,3.0
1646,3.0
180,3.0
991,3.0
1416,3.0
819,3.0
1197,3.0
393,3.0
1488,3.0
598,3.0
636,3.0
686,3.0
403,3.0
791,3.0
541,3.0
274,3.0
1466,3.0
587,3.0
1562,3.0
855,3.0
1767,3.0
1720,3.0
720,3.0
1571,3.0
1217,3.0
540,3.0
1570,3.0
14,3.0
291,3.0
1263,3.0
1327,3.0
978,3.0
553,3.0
1478,3.0
1680,3.0
571,3.0
599,3.0
1380,3.0
1337,3.0
1349,3.0
1044,3.0
557,3.0
1317,3.0
423,3.0
1330,3.0
894,3.0
1413,3.0
1771,3.0
1242,3.0
425,3.0
1264,3.0
753,3.0
731,3.0
1128,3.0
440,3.0
985,3.0
1728,3.0
1714,3.0
1997,3.0
1065,3.0
49,3.0
1252,3.0
106,3.0
461,3.0
1333,3.0
1846,3.0
1148,3.0
246,3.0
492,3.0
1174,3.0
1734,3.0
97,3.0
1965,3.0
1053,3.0
1595,3.0
80,3.0
1498,3.0
1826,3.0
1350,3.0
1930,3.0
1231,3.0
1376,3.0
1320,3.0
1224,3.0
102,3.0
263,3.0
312,3.0
510,3.0
746,3.0
944,3.0
545,3.0
1607,3.0
1083,3.0
560,3.0
1759,3.0
1526,3.0
64,3.0
973,3.0
205,3.0
1986,3.0
687,3.0
1752,3.0
737,3.0
1157,3.0
567,3.0
735,3.0
448,3.0
404,3.0
829,3.0
1363,3.0
207,3.0
1306,3.0
1617,3.0
1000,3.0
122,3.0
1015,3.0
1581,3.0
1760,3.0
558,3.0
1365,3.0
1640,3.0
221,3.0
1609,3.0
742,3.0
1305,3.0
1429,3.0
1088,3.0
962,3.0
1181,3.0
519,3.0
1839,3.0
286,3.0
72,3.0
889,3.0
1546,3.0
1175,3.0
1031,3.0
1084,3.0
1283,3.0
1090,3.0
163,3.0
1191,3.0
1948,3.0
1485,3.0
166,3.0
124,3.0
260,3.0
784,3.0
1469,3.0
1106,3.0
1990,3.0
542,3.0
1715,3.0
388,3.0
591,3.0
917,3.0
208,3.0
535,3.0
21,3.0
931,3.0
1322,3.0
2000,3.0
1849,3.0
544,3.0
843,3.0
665,3.0
1658,3.0
275,3.0
84,3.0
1905,3.0
466,3.0
1934,3.0
1520,3.0
383,3.0
811,3.0
841,3.0
683,3.0
1254,3.0
504,3.0
1920,3.0
534,3.0
1472,3.0
762,3.0
639,3.0
1284,3.0
807,3.0
996,3.0
58,3.0
369,3.0
1026,3.0
573,3.0
408,3.0
315,3.0
1280,3.0
483,3.0
1165,3.0
721,3.0
1661,3.0
279,3.0
1338,3.0
766,3.0
1528,3.0
22,3.0
857,3.0
1058,3.0
1294,3.0
1374,3.0
417,3.0
242,3.0
1142,3.0
278,3.0
413,3.0
1189,3.0
362,3.0
1832,3.0
294,3.0
1055,3.0
110,3.0
348,3.0
659,3.0
1683,3.0
1046,3.0
711,3.0
1551,3.0
825,3.0
1440,3.0
1763,3.0
1112,3.0
1867,3.0
1624,3.0
206,3.0
258,3.0
661,3.0
509,3.0
449,3.0
658,3.0
1343,3.0
629,3.0
1139,3.0
1693,3.0
740,3.0
1838,3.0
1764,3.0
1877,3.0
155,3.0
191,3.0
743,3.0
181,3.0
1569,3.0
1812,3.0
212,3.0
1415,3.0
326,3.0
1232,3.0
92,3.0
1443,3.0
1844,3.0
1756,3.0
399,3.0
1456,3.0
1553,3.0
335,3.0
1904,3.0
1916,3.0
323,3.0
713,3.0
1522,3.0
1398,3.0
1204,3.0
582,3.0
703,3.0
755,3.0
1132,3.0
284,3.0
176,3.0
316,3.0
1366,3.0
1806,3.0
1325,3.0
251,3.0
896,3.0
38,3.0
495,3.0
943,3.0
1723,3.0
1809,3.0
1808,3.0
1921,3.0
1308,3.0
583,3.0
1193,3.0
50,3.0
1813,3.0
597,3.0
123,3.0
169,3.0
105,3.0
352,3.0
1200,3.0
1431,3.0
1513,3.0
952,3.0
1540,3.0
1969,3.0
1830,3.0
1836,3.0
1412,3.0
1597,3.0
1296,3.0
1339,3.0
1360,3.0
1635,3.0
697,3.0
1961,3.0
1035,3.0
1278,3.0
1462,3.0
20,3.0
1901,3.0
9,3.0
1222,3.0
215,3.0
901,3.0
1549,3.0
653,3.0
1637,3.0
1912,3.0
1980,3.0
